Username,Comment
@bridgent1249,"Learn how to implement react loading skeleton feature in just few seconds 

https://youtu.be/SCLs-fcrzz8?si=D7IrYpg5om_VgMD7"
@tGoldenPhoenix,39:13
@user-uc5fu5dr9r,I have a little understanding in Blazor so with your turtorial i think i am now ready to start my first project with react. Thanks a lot.
@user-cb6ld4vb8k,"I am enjoying this course so far but I am having an error when I go to add my ListGroup to my App : 'ListGroup' cannot be used as a JSX component.
  Its type '() => void' is not a valid JSX element type.
    Type '() => void' is not assignable to type '(props: any, deprecatedLegacyContext?: any) => ReactNode'.
      Type 'void' is not assignable to type 'ReactNode'.ts(2786)"
@hadimomin4150,"you said we will be building that gaming project together in this course but you did not show a single thing about that in the whole video, do we have to purchase your react course for the project?"
@Iyht,"I been programming for 20 years now and it always amazed me how overcomplicated and redundant web dev is, you literally had to use 3 libraries (vite,react,bootstrap),  4 useful files and like 10 other useless files, 4 functions, and like 4 objects so that you can create 2 files(HTML and JS) that are going to actually do the work and create one simple close button. I just think is silly to have to use a compiler for typescript the whole purpose of interpreted languages like python and javascript is to not have to use a compiler...and if people really want type safety, why not use a faster and more formal language like C# or Java that were already design for that or just learn to program correctly. The idea that react applications help on debugging is clearly false by just looking at the complexity of the code and the special syntax. The only advantage that I see for things like typescript is intellisense, but I think there is easier ways of solving that problem. At this point its probably better to just use C++ 🤣"
@baranbati2361,this isn't the full course. It is behind a paywall and the final project is included only in it. Should've gave that disclaimer in the beginning.
@FirasTeinz,can you upload src please?
@ed7030,I am watching this once everyday for a month straight
@danishsadpara,i learned the funda of childrens in details
@mauricioquiroga7209,"I missed the beginning: how to install node.js, how do I put this on a server? I am wanting to do a form, something simple but with interactivity"
@jsublett70,Excellent video. Thank you!
@efepekgoz,"20 mins into the video, 'Oh btw this course is not complete and you have to pay me to get the rest.'"
@48_subhambanerjee22,Mosh the goat 🐐 GREATEST OF ALL TIME
@gem13259,Thankqew
@starrex6074,Thanks u sir my teacher Hassan Rizwan Bhutta suggested me your channel kindly shout out his name
@szablitho3439,"Hello watchers and Mr. Mosh. Is explanation in video of libraries and frameworks accurate? Well, i used to double check info on internet within different sources and i read that for example form validation can be done with React alone using for example if else statements.
Also if framework like Vue.js is a set of tools, i understood it has built in libraries for specific needs. However google told me you can add other libraries on it too.
How is it actually?"
@Sandy-px1fz,question are you a software or front end developer
@visheshok8676,https://youtu.be/bMknfKXIFA8?t=1
@roberyoussef7223,localhost:3000 work with src>App.js    not       src>component>Home.js        what is the reason???????
@kapitannemo03,Thank you Mosh! I will buy the complete course
@louisik1,"""vanilla javascript... 6 lines of code omg!!!""  node npm @ffi3jf -sdjf -wjaklsf  blahblahblah 25,000 files later...   ""see how easy this is!?!""

lol... a day of reckoning will come."
@DD-vm7fq,There are still people learning old technologies out there i can see. Learn Svelte / SvelteKit instead.It's a way out of the dark in .js.
@user-qy5in4oj6p,"You are one of the best teachers which i have looked. Only necessary information without water. I am a backend developer, but with your lessons i plan to structure my knowledges about frontend and developer some pet project. And maybe i will try react native"
@jonathanburdocklawitlang4824,How to make telegram movie bot please need tutorial
@jasemianalmousavi4303,thanx
@himanshuvora1980,👌👌👌👌
@TheBlackmanIsGod,"CAN YOU MAKE A VIDEO ON “controlled randomness”, and how to think with it and solve real world problems with it like an AB testing situation????"
@poyipoyixd849,"Im In senior high school and we need to learn this for our thesis, god"
@rishabhraj1208,should we know typescript for this or we can go with javascript?
@aidin3186,❤‍🔥❤‍🔥❤‍🔥
@muhammadmusharaf4705,Thank you Mosh. It was really Amazing
@csereal100,This course is not for total beginner.  You are jumping to different things with no/little explaining . Very poor tutorial
@husniyahsule2434,@programmingwithmosh thank you for this tutorial but please when i input the npm run dev  to open the project shows me prompt message that is not available what should i do please
@user-pr9yp3fy1z,"Hello All 
is it possible to execute commands  using react in our local systems ? any idea would be more helpful.

Scenarios is like i would want to run some commands in my c drive or d drive or specific given location."
@VasanthKalluru,"The best React tutorial I've ever seen. Cracked my head to understand react for a while now. Thank you very much Mosh, will try completing the entire course as well. "
@sohaibrana7450,how is his terminal all labeled and colorful?
@marilynm.7803,You're awesome Mosh!  You're creating a great community with your videos and we appreciate you!
@HayaBaqir,local host shows not to be working for some reason
@michealyang1994,"Hi Mosh, I have a question about each component. I saw someone use ""ReactDOM.render(xxxxxx)"", but in this video, use ""export default xxx"". Are they the same? or have a different purpose"
@AdnanDeveloperConsole,"https://youtu.be/k-5aLRhG0Ic?si=SejAPTGKFE69jzxy

I hope this helps for cracking interviews"
@MohitKhare,Thanks Mosh. Amazing content as always. It's really well explained and I love the fact that you tell the good/bad programming practices and conventions. ❤ from India.
@user-ry7xe1ud3x,Coming from Angular and learning this is so satisfying...
@edwinaritama,super cool!
@DataJuggler,"I am unemployed, and opensource doesn't very well (at all). $149 is too much when I am worried about eating and having a place to stay. The $29 per month, is that cancellable after a month?"
@DataJuggler,"React seems easier than Angular, and closer to Blazor which is my favorite web platform."
@RECEVERYTHING,"Hey Mosh, for some reason when I follow this the close button on the alert is right up against the text on the alert, as opposed to being on the right side of the window.  The alert still covers the entire width.  Any idea what could be causing this format error?  
Thanks!

edit: nvm was a spelling error 🤦‍♂"
@DataJuggler,31:14 How did you bring down the line of code?
@miner7292,27:17
@CamWhite-ng1fl,it would be good if you showed the index numbers of the text doc - makes it a lil hard to follow fluidly otherwise.
@isroellitvack8048,The best!!
@abrahamshepher9321,"Hello Mosh, can you tell me the theme you are using for VsCode?"
@bringerod5141,"Sure it's a first step into react but I feel like in order to master react I need more help with understanding the different hooks. An example would be a simple ""list items from a database and react to changes in the database as it is getting updated"" which is a very common user story. I give this a 2/5"
@JeMasLT,0:24 the best stills ever :D
@user-cs5cr6mc2g,"Отличное информативное видео, с интересной подачей!!!!!!!!!!!!"
@techvisiontv7309,Mosh always mass.
@mdshariqq1976,awesome
@-pcmr-108,"Well I wanted to follow this tutorial, but of course React is crashing as soon as I try to run the dev environment."
@behzadmazaheri2962,"very good course , tnx bro"
@valentinleguizamon9957,Thank you!!! I really enjoyed the good explanations!! 😃😃😃😃
@naziqfn2472,"Hi
When the next part  is coming? 
Tnx for great videos"
@sujithnarayan5335,"8:32, how did you import the files of node modules and etc.."
@viscy,Day 1 7:20
@statesmancomics7284,im not sure why but the controls on my mac are not like the ones ive seen online. when im in vscode i have to push i to allow it to let me type and the command d does not work past one line
@AchwaqKhalid,When #Golang ❓
@ilokana-ak149,"thank u so much sir for making this vedio, Im a programming student so im happy to watch this.❤❤"
@bhawnakhattar261192,"I was not allowed to pass children as a string directly instead I had to do this :  <Button chidren={""My button""}></Button>"
@rahulpyd1,Not an active React developer but learned quite a lot from the videos. Thanks. Very engaging.
@sharmfernando9235,Thanks Mosh 🙌
@bryarghafoor4713,I really want to take this course but it is very expensive!!!
@user-pi9nk7pf2k,i love react
@user-vt6em7bt4i,react version 17?
@user-vt6em7bt4i,react version 17?
@waleedsharif618,Does vite support testing using react testing library + jest ?
@patrickmasese4289,❤
@smithtang7763,"wow, this is what i want , excellent"
@preranabaruah4029,Thank you so much for this video. It was really a great help. Thankyou again!
@mathewmcconaughey3517,setting up react is just too complicated fr me. been struggling with it. the npm commands for vite is not working on my vscode.. i m just pissed
@swetapatel4799,nice
@swetapatel4799,nice
@niqueyinflight,This was a great taste of React. Glad I found you!
@gugun2660,"Mosh, I really love how you teach, is there a way that you can teach other as400 programming languages like RPGLE free format? I am now doing your SQL and I am loving it! Please if it's possible? I am 50 and want to remain relevant until I retire at any job. If you have other suggestions, I am open to them. Please help Mosh."
@whysumancode,I left here 33:25. I will continue after an hour.
@faheemulhassan7458,"I am learning this video to face the issues in the main.tsx files plz solve it
""'App' cannot be used as a JSX component.\n  Its type '() => void' is not a valid JSX element type.\n    Type '() => void' is not assignable to type '(props: any, deprecatedLegacyContext?: any) => ReactNode'.\n      Type 'void' is not assignable to type 'ReactNode'."","
@Harpie.,"Your tutorial so far is great, but I was wondering if you do any React using Javascript instead of Typescript"
@mohammadmousazadeh1449,حاجی من حالا چطور آموزشات رو بخرم!!! نمیشه که!!!!!
@_Jospin,Thank u mosh. Can you please prepare for us kivy tutorial for beginners please.
@ZeeshanElia,"Hy mosh

Should I Go Machine Learning with JavaScript ?

Because javascript is mine  love  ✔️
Whats do you suggest me"
@fahadnahi1309,What’s the best laptop for programing?
@kentbdreyer,is there an extenison to get those colors on the code you have?
@centralizandodiv,Is this course available on udemy?
@sofianebenhamza4985,the way you explain things is just amazing  ! Thanks sir !
@tiktoklyricsvibes,"I have no watched his video yet but I find it useful ,
cause i have going up and down with rondom tutorials for long time."
@gowthamvegi608,"Actually i know javaScript basics but, this course is using typeScript. Can I still opt for this course ?  can Somebody help me out"
@adrianayon5513,"wow a modern Prometheus,  thank you sir!! Respect!! 💯"
@Lovememore231,Why is this in the Billy the Kid show series Playlist?
@samuelweb6595,This is one of the best react beginner course. 😊
@nazaningharache5124,Please add the Farsi translation🙏🙏
@DeltaXML_Ltd,Great tutorial!
@quintinjansevanrensburg5476,These videos has more adverts than content🤯
@Pcskills0118,"Hi Dear Mosh. 
I would like to ask for something. 
I am 16 and it has been half a year i am coding and I learned front-end web dev. I can really feel some damages to my eyes. Could you please make a video and share some tips on how to avoid damaging eye while coding?"
@UECSoumyaRay,Finally a youtuber who has a higher node version than me!!!!
@amroulouay6819,👎 Avoid that React tutorial! 😡 It's overly complex and frustrating. Find clearer resources for better learning. #React #Tutorial #AvoidFrustration
@delacliqueentertainment4456,Nice tutorial video thanks. just have one question. is the certificaton in your course renouned ?
@urbanyoga-ss3uh,"Hi, where can I find the program(code) which was illustrated here pls?"
@GourangaPL,"i still prefer vanilla JS, that makes me feel more control over my code"
@leogerald3161,Please where do i get Terminal please
@anoopktla,"Thanks for the wonderful tutorial, @Mosh going to get the complete version soon 🙂"
@ronking3445,just all the formatting tricks is worth the thumbs up
@mrgyani,"This is so complicated..
What happened to plain Html, css, js?"
@vipercodelab,WIll you upload a video on using js with tailwind css?
@user-mj1sf3gm1g,"This is really great tutorial, I remembered all from this video. Thanks"
@dhruvkumar-br2lp,Thank you mosh
@pratikmurari8182,why your temial looks so different
@ExitStrategyNYC,*Love love love* the big fonts
@Tron66,Am new to React but after watching this i feel like a pro. Thanks Mosh and keep up the great content
@lawrenceyang9959,Hey Mosh. I like your videos. Will you also make videos on how to use popular frameworks like NextJS in the future?
@jeremydrury115,Great video. Thank you!
@asiaroomcom6327,Easy to understand React class for beginners
@dalepres1,I came looking for how to use react but got how to use vite.  I wish you'd taught how to use react and then it  might make sense to add to or build upon that and show vite but I'm looking for creating an app with react and your video doesn't show it.
@frontenddev5,In 1 hours you will learn how to write react. See ‘react’
@edenyaniv8141,amazing
@developpement_digital,"Mosh Hamedani is the best one in Youtube explain programming language very well, Thank you so mush."
@russmbiz,"In my main App function, I have to put parentheses around my div in order for anything to render. I looked it up, and the docs say that you need parentheses whenever a component returns multiple elements. You are returning a div with a message component inside, yet you aren't using parentheses. Why does yours work but mine doesn't? I'm using the same version of react."
@AshokYadav-iq8vb,"Hi Mosh, Thanks for new version i accidently open your old course(https://www.youtube.com/watch?v=Ke90Tje7VS0&t=424s) which is not working now to code on my machine because of dependencies are way older today.."
@AN-kr6sg,"0:25 god damn how hard she is typing, monitor is going crazy"
@TheYAWHNIE,"This made my ""migration"" from Angular to React very smooth!
Thanks 🙏"
@shawnshaw9859,is react-bootstrap used here? I saw bootstrap is used but nowhere mentioned its installation
@geek_24,"Namaste everyone! 🙏 If you're keen on learning programming and diving into ReactJS in Hindi, I've created a video just for you: https://youtu.be/SFXJUy_WFAg. Take a look if you're interested! Thank you and happy coding! 🚀"
@varshikjain1862,after coming to managing state everything bounces off my head
@wayofknowledge,Kindly teach me mongoDB and lauch course of data base management
@saulgoodman7693,I loved this REACT tutorial! Your explanation and demonstration is perfect. Your exercises helped me test my understanding of what I had learnt. Once again a greater lecture and an even greater learning experience! Thanks a lot Mosh! Keep up the great content and wish you more success in the future!
@SandhyaReddy-qx6dv,What VSCode theme are you using @programmingwithmosh?
@user-je1zw8ln2x,"hello, when I cteate this project as you said, there is always red wavy line in HTML tag in the App.tsx. do you know what may be the problem?"
@sweetfitfun8223,Please make python flet full tutorial ❤
@mikaelnilsson8041,"This is the most clear and concise basic ReactJS tutorial on YouTube imo. A question though, what is the naming convention when we have multiple click events in the same component? ""handleClick1"", ""handleClick2"", etc looks really bad."
@nipunkumar7164,"Why the arrow function at 46:54 ?
anyone?"
@cassandradantico500,what a fantastic video thank you so much. so easier to follow than other videos out there
@Pollux70,"Auto formatting can be wrong as if it is different from production conventions, it makes it hard to see what changes were made."
@codingwithnyemmal,https://youtu.be/z_7rm-VftAI
@marchevka22x,"You do a good job of explaining ""What is the problem we are trying to solve"" ... which is left out of way, way too many CS videos."
@Mauzy0x00,"Great video! My first time playing with front end web-dev. Only issue I ran into is optional property. When I have the question mark there my browser says ""Uncaught SyntaxError: ambiguous indirect export: default"" or ""Uncaught SyntaxError: ambiguous indirect export: default"" on another browser. issue went away when I remove the question mark."
@iand954,"wery helpful, but hard to eyes during switch from dark mode of ide to light screen of browser)"
@fredricksilas8407,"Me in 2020: yea mosh Is great
Me in 2021: I don't need mosh 
Me in college: mehn bro, mosh is the best he saved my gpa"
@shojo799,Archivo->Preferencias->Configuracion for Windows spanish. And Files->Preferences and configuration for Windows english. 6:10 configuration.
@eff_gee321,"Its a good tutorial, but its a bit misleading as it is just an add for the full course. you can follow this tutorial but it wont get u anywhere if you don't purchase the full course."
@xaviersoh,Well Done !!!!
@as_if,29:20 how did you delete it in one go
@nuresma1051,Perfect expression...
@victoriabuvenova8583,"the screen where you show code is too enlarged, hard to read"
@sikanderkhan5745,"at 36:04, why does he use => for the function?"
@hv6411,Thank you for making me smarter🤩
@thomasfang5156,"Too many Commercial, don't like it."
@system.out.printlnsmartert5781,Followed everything exactly but hello world is not showing up in my browser.
@rmtech7678,hey Mosh ! who named you Msh ? you look more like a pea 😂🤣😅
@vadi4390,"Mosh, can you PLEASE make a course about c too? !!!"
@system.out.printlnsmartert5781,Dang not gonna lie this is very confusing. Going to stick with it because I eventually want to be a MERN developer. I have a long road ahead of me lol.
@graniteprogrammingtutorials,"The biggest problem with this video is that it gets confusing and as a viewer I lose focus with the extra bootstrap, typescript and vite information instead of focusing just on REACT. I understand that these technologies are used in addition to REACT but for a complete newbie to REACT I find it hard to realize what is REACT code and what isn't. That being said I give this video an A+ for its content and delivery. Keep making great informational tutorials like this I love them!"
@youdontknowwhoiam1243,Sorry mau curhat ejek aja gpp tanggung sendiri. Tapi pernah ga lo burnout trus yang ada malah video 1 jam an kaya gini? kan pusing jadinnya..... Maksudku mending kita cari solusi
@cydexcode,"once the video is posted by ""mosh"" you know that you are going to understand everything quickly... thanks for everything that you teach us... i hope you will never stop teaching cause you are a very good teacher.... much love....."
@rogue5738,POV: https://www.youtube.com/watch?v=Q7AMolTul7c&list=PLUT1ru5pyDyEXV-utdb_EQT_-nftlb2wq => When he said that we can buy the rest of the course :)
@talha5423,Is it only me or some of the folders/files were not installed like the assets one. Can anyone help pls?
@alokkumarmishra5172,Mobol 😆
@blaineruffing4396,So im having an issue with the first real problem you went over and App is declared but it's value is never read. ts(6133)
@sadmanh0,"I don't understand something, in the Managing State section, you said that React is not aware of the selectedIndex variable and it's local to the function. So presumably this is because the var was declared outside the HTML snippet in the function return. In that case, how does React know about the setSelectedIndex function? I'm guessing it has something to do with the useState function? So whatever variable is in the second part of the useState array acts as the hook function? What happens if I put more than 2 things in that array?"
@renzou7053,Does anybody know what font Mosh used in this video? Thank you so much for anyone who can help me.
@bepowerful5896,Very nice❤
@talkingartist424,Wow! Great video! What software is used to create so smooth transitions & animations?
@xk2920,"Sir, do you provide certificate after the course?"
@thewillplaya2022,I don’t see the front end course on your site I’m confused on which one to pick out to learn front end web development. Can you send me a link please thanks
@novagames5719,I just need this
@someone-on-earth,what theme are you using in VSC ?
@helloworldprogram58,Thank you for making this course!! you are a very good instructor and explain things in a very easy manner!! I understood everything in no time!! Thank You!!❤
@phillip_jacobs,"Just finished the full course! Hands down the best tutor!
Thanks Mosh!"
@rean8899,"Hello sir, I'm so wondering when I use useState Hook to increment the count I can write setCount(count + 1) but I can't write setCount(count++) ? I don't what's with this implement."
@alexkimani1702,I hope in future you create a tutorial for GraphQL and Apollo
@mikebeats3281,All of this just to make a button🎉😂
@isaurabh2001,Thank you mosh.
@user-ek7lj2hz8k,"Как всегда, отличная работа"
@as8604,simple explanation with full meaningss....😍😍😍😍
@waqarrao3610,Why you don't use Tailwind instead of Bootstrap🥲...anyhow we want videos on smart contracts... Solidity...please ...
@chandukanth6875,Cheaterrrrrrrrrrrrrrrrrrrrr..... Remove the thumbnail of learn react in 1 hour
@prasaedonium,test
@Pages_Perfected,This is Amazing!
@omarhassan9234,"Great tutorial, comprehensive and simple to follow. Does anyone have summarized notes on this tutorial?"
@awreckingball,"14:52 Uncaught SyntaxError: The requested module '/src/App.tsx?t=1689719445651' does not provide an export named 'default' (at main.tsx:3:8)

Great start :|"
@MrMaharkus,thanks mosh. cool.
@lenayounger4451,"I want to know ,did you put the code in vs and if yes pls explain to me am loss"
@rickypatel2014,Can anyone tell me the theme he is using?
@juviscript,"This is so awesome, I appreciate you, Mosh!"
@lukaszsawicki9441,Hi mosh. First of all Amazing tutorial(this is why I invested in it :) ) But question why my prettier is formatting code different way than here on this clip?
@michaelbonnet590,"I encounter issues around 54:50, saying Uncaught ReferenceError: useState is not defined"
@pongtime,Thank you so much! Best tutorial on the Youtube!
@chandukanth6875,"Cheating with fake thumbnails..... this is a small part of part-1 of react(that too you will know that it is part-1 after completing it) after completing part-1, the price of part 2 will be hiked....."
@Connor_Lucas,Hi I've messeged you on tiktok from my backup account could you please respond here so I know its you
@Tejash0901,42:0
@ultronzeon1759,"Hey mosh , can you make a video on react native??. The latest release got so many new features and it would be very good opportunity to learn new things from you. Thanks in advance !"
@calebkrauter4027,"I was enjoying this video until I heard that this is the first part of the paid course, I feel a bit mislead since it wasn't clear up front that I would have to watch 8 hours of a paid course."
@BiniamMarkos-ps5lr,can you please write a program that detects palindrome
@sandyechon5608,I really hope you can make a tutorial on how to make a point of sale application using react native
@user-sv2em5sn3u,"At 10:42

That ""scripts"" section in the package.json file are:
⚙ dev: This script runs the Vite development server. This server will watch your files for changes and automatically rebuild your project when you make changes.
⚙ build: This script builds your project for production. This means that it will minify your code and remove any unnecessary code.
⚙ lint: This script runs the ESLint linter on your project. ESLint is a tool that helps you to find and fix errors in your JavaScript code.
⚙ preview: This script runs the Vite development server in preview mode. This mode allows you to preview your project in a browser without having to build it first.

Hope it helps."
@plokiy4986,"I’m learning JavaScript in my course, can i do this with JS?"
@M_Bennettecrochet,https://youtu.be/BawHLY8YXio
@rehan-6377,Thanks
@Jakes_psyche,But where is the video game rating site?
@VortexDa1st,"Thanks a lot bro, can you please make a video about loop control statements: break, continue and pass please? Thanks!"
@rabbitlover7656,"Hello, honestly I have a question that drove me crazy, that there are many people who said that the C language does not contain object-oriented programming, and in fact according to the English books it says that the C language contains object-oriented programming, and many people hate the C language and resort to the C Plus Plus language because they claim that  The C language does not contain object-oriented programming, and this concept is very, very, very wrong according to the proven scientific books of the C languages. Unfortunately, many people criticize the C language because they claim that it is devoid of object-oriented programming. The problem is that those who claim that are experts and university professors.
This is not my words, but I quoted it from a person who is an expert in the gaming industry in a company in Europe."
@patrickhastings3733,"What vs code 
color theme are you using in this tutorial?"
@mmuhkkha2001,"Is object-oriented programming subordinate to, or separate from, data structures?  And which one do I start learning first, object-oriented programming or data structures?"
@luisatgarcialo,"Was using this tutorial because I'm new to React, but not JS. Using onClick to make list items ""interactive"" is a bad practice. I was hoping you were going to point that out and then show how to do it properly, but then you continued to build upon it? This makes me think that other antipatterns, ""shortcuts,"" and bad practices are being recommended."
@dynaamicc,"Hey, I'm having an issue buying the course off of your website, can you help me in any way? it get charged but then the page freezes and i never get access to the course"
@shubot6530,Mosh please make json tutorial :(
@stephenolise7375,it was cool to watch this. my problem no is i don't know how to use react jsx on my window please some help I'm stock please  please please
@mwaikul,"Love the tutorial! Its the perfect balance of ""show me the code"" and ""explain the concepts to me"". Came here after a bunch of tutorials that jumped to deep into the code with no concepts or vice versa. Thankyou!"
@sakinabhimani922,I found error when i install npm... 😒
@mahdi_c200,thank you
@julius5632,"Hi. this might be a bit off topic, but yould you please reupload the ""cheat sheet"" for the your python courses again since they are no longer available. Best Regards Julius."
@WhoCares-oy7so,"on Window based VSC, its under File -> Preference_> setting ... the rest is the same"
@israelsilberstein1742,please disregard; my bad - I somehow (in refactoring) ended up with <ul></ul> on one line followed by the li tags. I look forward to taking your multi-hour course
@israelsilberstein1742,"great intro; when I add the click handler, I put in debug to see that the className is actually ""list-group-item active"" but it is not painting as such"
@maksimsimeonov9541,On 43:35 is (event: any) right
@marzenalaaeddine,Thank you !
@chandukanth6875,Will this full course cover routing as well?
@raulriquelme4734,"what is the difference in main.tsx, main.js appears to me, thanks"
@user-ko7nt5mw6q,I struggled to learn this because I'm a beginner but it was worth it.
@xc4945,"Hi, I'm new to front end stuff. 
Do you have a course with React and Javascript instead of type script?"
@rashmiyadav3825,Please make a course video on Blockchain
@BanksAvvab,Good course!
@nahombinyam3759,I have been struggling to learn react for a long time but thanks to you that curse have been lifted 🙏
@ast1897,"Good tutorial, but there are a couple of things that could be improved. He runs through the stuff really fast and constantly erases what was just coded. If I am new to react, I'd like to have an example of everything I'm practicing rather than wiping everything clean after each session. If he is going fast to keep the video short, that's fine, but what's with the music slides after each segment? Overall, it feels a bit like an infomercial and that's a turn off when considering the purchase of a full lesson plan."
@rjbasada3430,"Hello sir mosh, big fan of yours, can you have some video tutorial with the odoo 15 with xml ? Thank you"
@patrickhastings3733,How am I the only one that is asking what vs code color theme are you using? Dracula? I love it and it seems a bit different than that one..
@chandukanth6875,Can someone help me in getting the code which he wrote?
@PrinceAnichi-os4nw,"Hi Mosh,please can I start learning python with an Android phone?
If yes how?"
@michaelsazz3545,I can't lie this course made java script look so easy ..how is this supposed to make my coding faster?😒😩
@PMR745,you look like jonny sins
@ThunderChasers,this is great. sometimes a little too fast for me to keep up. pausing and rewinding with such a long video is a little tedious.
@NicJSB,Thank you for this helpful tutorial. What theme is that in VSCode? Mine looks different
@hosseinmontazeri491,"this is amazing Mosh, thank you"
@hrishubpulickal8926,"I bearly know java script, so can I learn react without it?"
@markergaming8394,Bought the course. $20 for the best teacher. Great way to give a hour of content first and add value.
@bigg-9646,pls make tutorial about nosql.. i watched all your courses starting from basics 7 months ago..i followed your recommendation of what should i learn first. and now im a frontend dev and currently self studying about backend and database and couldnt find tutorial the way you teach..
@AddictedGamer271,"Easy to follow, great work as always."
@nanoRobin,what theme do you use? its so nice
@user-fi1qj9qd3s,Nice
@Bhaktivallah,tis video is more like advertisement..
@alm683,awesome Mosh. Your teaching style is concise and to the point. I am subscribed to a number of online IT learning resources but this is by far is the best intro to React that I went through.
@sachingupta1297,First of all after seeing this educator video i thought he is Jonny sins😂
@Abdulazizaziz-cc4nq,"Your are Guru of tech sir.
Sir can you teach us where to start ethical hacking what to learn and can you show us steps? Please Sir."
@BrandonTramel,lost you at the 58 minute mark. The Console is saying that the onSelectItem is not a function. I'm not sure what i'm missing here.
@2DGirls4lyf,"Hi, great video, one question though. I had to stop the project in order to attend other matters and when I tried to go back on to it today, npm start would not work. The error ""Missing script: ""start"" appears. I tried adding a start script to the package.json files but it still would not run, it came up with the error ""module not found"" and I believe that this is due to the fact that I did not put the correct value in for the start script but I do not know what value to input, any advice would be greatly appreciated."
@turglow01,"Could someone explain to me why the function we created around 44:10 (handleClick) doesnt need to return anything, but the one we created around 36:10 (getMessage) does?"
@violet-trash,I'm getting 500 errors when I click your courses
@ancrobot8399,"This was the most helpful thing in a while. Most you go thorugh the errors the same way we catch them. You dont just spoil the solution on why we are getting the error. So many times during this course when I got an error, I saw the hints that you gave and then tried to solve it on my own. Truly one of the best teachers!"
@happymalyo_,Great tutorial dude! Thank you Mosh :)
@SerialLinker,"This is exactly the video I was looking for. I'm backend software engineer since 13 years, I want to progress on the frontend development but usually I found tutorial that are not detailed enough for me. Here it's really clear, put I my playlist and let's finished all my personal project which are working fine using postman but without any frontend ^^"
@ar-ig1ho,"If I subscribe to part 1 of your React tutorial, will I be able to view part 2 as well? or its 2 separate subscription payments?"
@muradiancode,Your video quality is Next Level . Please make a video on discord bot create with python / javascript . I am waiting for you
@monzerfaisal3673,"Dude this tutorial is epic. I first started listening to it to check it out quick. It seemed understandable so i followed along over a few days and i'm not only understanding, everything is also sticking to my brain!!! thanks man"
@ranjandutta7996,"Mosh, I have one straight forward question is this worth to learn flutter in 2023?"
@ikhanvids2804,Need a complete and comprehensive course of Flutter like Python you done of 6h.
@Code.with.kk1,When I create react app i get only package.json file not other files why is someone can tell me
@abhijeetpratapsingh478,"I'm from India
Please give subtitles in English also
Because I'm not able to understand aus assents"
@mark_pherz,Great video! I knew nothing about react and programming at all just an hour and a half before and now I'm building apps and working at meta
@jonasking3670,6:06 Do not follow this step if you also use VS Code to write python programs.  VS Code regularly gets things wrong when it comes to white space.
@ibrarsandhu1251,Can you please let me know if the new react course is only supposed to be two parts or is a third  advanced part coming out?
@Muchuchuuu,really good tutorial!! thanks alot
@user-wx5ue4xw1y,"bro, i'm starting to consume english content about code and all this things and ur channel help me so much, i love how you explain complicated things in a simple way, i'm thinking about buy ur complete course!!"
@mnaufalfarras_,Very enjoyed watching this video and thanks to Mosh who created this amazing beginner tutorials. I think this video can easily understand by someone who started using ReactJS now 😄
@tarunakantakumbhar5725,When will the next video come? I'm desperately waiting. Please push the next video..
@mohammadtrabelsi1699,"Thank you Mosh, Tunisia"
@mcrazick8662,"This course is so enjoyable to study. My past React experience (when I started using it for the first time) made me give up XD. But after a while, mastering JS in the meantime, I decided to come back, found this video and yeah, brings confidence back. Great video!"
@jonldavis,"Near the beginning when he uses the If statement, make sure you put the else statement with it because <Message> will give an error ts 2786"
@uxdlozi,You're the best!!!💯
@benchracer2171,"I think the Typescript was rushed into this making it confusing.
Perhaps label not quite ""beginner"" unless you can improve the introduction of Typescript."
@ahmedifhaam7266,Anyone knows what theme this is ?
@abiodunmustapha6930,When code . doesn't work to move things from terminal to studio code how do we do it by dragging
@hamzakhan4341,theme name?
@cheeksmcclappeth6407,"My fragment isn't fragmenting. Console says H1 cannot be its own child. Any ideas? I also don't have an option to wrap abbreviation -- so, I'm typing in the fragment brackets manually.

Thank you for the video nevertheless -- very insightful."
@gistudio5888,"Thank you for excellent turorial! if you don't mind, I would like to kown your ""Prettier' setting? I follow the tutorial but the code style is not smae as you. It's too tidy"
@unalysuf,"Thank you so much for this tutorial, I have just finished. I appreciate your effort "
@learnerground,What kind of vs code theme you are using in this tutorial? Please tell me.
@fahimismailmagdum8468,"Every time trying to purchase tutorial, it says, card is declined"
@ndroidLover,Hey @programmingwithmosh please make a complete course on tailwindcss
@afro_rush3882,How do you get all those cool icons next to your files?
@coldandwetvfx,Is it fair to say that this tutorial is for experienced programmers who are beginners at React?
@karlwillo7677,I just keep getting a 'npm ERR! 404  'create-vitte@4.1.0' is not in this registry.' Error 404? Trying to update my skill set from Dreamweaver and Adobe products to React and Next.js. Not finding the move easy at all lol
@SuhailKhatarnok,"Hey Mosh, love your work. Can you make a fullstack course with NextJS, NextAuth, graphql and mongodb using typescript and maybe dockers at the end. It would be the ultimate fullstack course"
@hannyfransis8107,Mosh you are great !!!!
@nafimahmud7842,love u sir
@tinahomayouni3900,it was amazing about learn TS !!
